"display_title","summary_short","critics_pick"
"1","A bawdy college kegger has a possible extraterrestrial mystery in 1",1
"10 Cloverfield Lane","JJ Abrams produced but did not direct this thriller which is only slightly connected to his Cloverfield 2008 and stars Mary Elizabeth Winstead",1
"10,000 Saints","A troubled Vermont teenager is sent to live with his estranged father in New York and finds himself there during a defining cultural moment",1
"12 Years a Slave","Steve McQueens 12 Years a Slave based on the true story of Solomon Northup drives straight to the heart of the cruelties of oppression",1
"127 Hours","Danny Boyles 127 Hours recreates the ordeal of Aron Ralston the hiker who decided to extricate himself from a narrow slot of rock by severing an arm",1
"13 Cameras","A creepy landlord a fathertobe with a wandering eye and a lot more than a couple bargained for in renting a home",1
"17 Girls","When a high school alpha girl becomes pregnant 16 other girls follow suit in the film 17 Girls which wavers between light comedy and drama",1
"20th Century Women","Annette Bening stars as a complicated and divorced Santa Barbara mother in Mike Millss funny emotionally piercing new film",1
"45 Years","Charlotte Rampling and Tom Courtenay play a couple whose union is unexpectedly complicated by the discovery of the husbands longdead former girlfriend in a glacier",1
"45365","The documentary 45365 looks at the residents of Sidney Ohio",1
"4th Man Out","Adam a mechanic in his 20s who has recently come out tries dating apps with the encouragement of his three lifelong buddies",1
"7 Boxes","A pushcart delivery boy in Paraguay takes a job for a shady butcher and chaos ensues in this film directed by Juan Carlos Maneglia and Tana Schmbori",1
"78/52","A documentary by Alexandre O Philippe finds plenty to examine in one of the most memorable scenes in American film",1
"99 Homes","Ramin Bahranis tale is on one level a fable about how impersonal economic forces shape individual destinies",1
"A Bigger Splash","This film filled with beautiful people is a reluctant thriller about a rock star her current lover her former lover and a pretty young thing",1
"A Dark Song","This intense debut feature from the Irish director Liam Gavin with its spare style is a marriage of acting and atmosphere",1
"A Film with Me in It","A Film With Me in It is a slender supple comedy graced with appealing performers and laced with agreeable poison",1
"A Ghost Story","Casey Affleck and Rooney Mara play a young couple one of whom is dead in David Lowerys haunting new film",1
"A Good Man","A Good Man a documentary by Safina Uberoi follows Chris Rohrlach an Australian farmer who opens a legal brothel",1
"A Hologram for the King","Set in Saudi Arabia this subdued absurdist farce reflects on American decline and runaway technology",1
"A Little Chaos","Ms Winslet plays a gardener well ahead of her time in this Louis XIVera costume drama directed by and starring Alan Rickman",1
"A Most Violent Year","A family its heatingoil business and New York are at the center of J C Chandor8217s 8220A Most Violent Year8221",1
"A Prophet","A Prophet is one of those rare films in which the moral stakes are as insistent and thought through as the aesthetic choices",1
"A Room and a Half","A Room and a Half is a rich heady fictionalized biography of the exiled Russian poet Joseph Brodsky",1
"A Screaming Man","A Screaming Man by the Chadianborn filmmaker MahamatSaleh Haroun is a tender story about an individual at the intersection of the personal and the political",1
"A Small Act","A Small Act follows Chris Mburu who as a child in Africa was sponsored by Hilde Back a woman in Sweden",1
"A Summer's Tale","Eric Rohmers languid 1996 film A Summers Tale finally released in the United States focuses on a young man vacationing in Brittany who feels torn among three women",1
"A United Kingdom","This romance illustrates the struggle for African independence from colonialism under the shadow of apartheid",1
"A Useful Life","In Federico Veirojs film A Useful Life the programmer of a failing art house faces a challenge to his hermetic existence",1
"A Very Harold & Kumar 3-D Christmas","The comedy A Very Harold  Kumar 3D Christmas again delights in the recreational drug use of its two stoner characters",1
"Accidental Courtesy: Daryl Davis, Race & America","A man who confronts racism with friendliness in his travels",1
"Aferim!","Romanias entry for consideration at the Academy Awards for best foreignlanguage film Radu Judes historical drama has resonance in our present age",1
"After the Storm","The Japanese director Hirokazu Koreedas latest family drama focusing on a writer whos fallen on hard times works in a quiet cinematic register",1
"Afterimage","This passionate political movie tells the story of Wladyslaw Strzeminski a reallife artist who suffered under Soviet rule",1
"Afternoon","This Tsai Mingliang film features him and the actor Lee Kangsheng discussing personal issues in a minimalist setting",1
