display_title,summary_short,critics_pick,classif,pos,p_neg
1,A bawdy college kegger has a possible extraterrestrial mystery in 1,1,neg,0.13254099092063987,0.8674590090793619
10 Cloverfield Lane,JJ Abrams produced but did not direct this thriller which is only slightly connected to his Cloverfield 2008 and stars Mary Elizabeth Winstead,1,neg,0.3859839964112642,0.6140160035887354
"10,000 Saints",A troubled Vermont teenager is sent to live with his estranged father in New York and finds himself there during a defining cultural moment,1,pos,0.9839824531138384,0.01601754688615908
12 Years a Slave,Steve McQueens 12 Years a Slave based on the true story of Solomon Northup drives straight to the heart of the cruelties of oppression,1,pos,0.9946086367938122,0.005391363206187523
127 Hours,Danny Boyles 127 Hours recreates the ordeal of Aron Ralston the hiker who decided to extricate himself from a narrow slot of rock by severing an arm,1,neg,0.008289922719198895,0.9917100772808042
13 Cameras,A creepy landlord a fathertobe with a wandering eye and a lot more than a couple bargained for in renting a home,1,neg,0.2906525788096028,0.7093474211903948
17 Girls,When a high school alpha girl becomes pregnant 16 other girls follow suit in the film 17 Girls which wavers between light comedy and drama,1,neg,0.3073243790523875,0.6926756209476125
20th Century Women,Annette Bening stars as a complicated and divorced Santa Barbara mother in Mike Millss funny emotionally piercing new film,1,pos,0.9873311963403426,0.012668803659659491
45 Years,Charlotte Rampling and Tom Courtenay play a couple whose union is unexpectedly complicated by the discovery of the husbands longdead former girlfriend in a glacier,1,pos,0.9656786652562277,0.03432133474377134
45365,The documentary 45365 looks at the residents of Sidney Ohio,1,pos,0.5527018608840104,0.4472981391159896
4th Man Out,Adam a mechanic in his 20s who has recently come out tries dating apps with the encouragement of his three lifelong buddies,1,neg,0.06369382261357459,0.9363061773864242
7 Boxes,A pushcart delivery boy in Paraguay takes a job for a shady butcher and chaos ensues in this film directed by Juan Carlos Maneglia and Tana Schmbori,1,pos,0.7360607173319373,0.26393928266806077
78/52,A documentary by Alexandre O Philippe finds plenty to examine in one of the most memorable scenes in American film,1,pos,0.9484691496867399,0.051530850313261496
99 Homes,Ramin Bahranis tale is on one level a fable about how impersonal economic forces shape individual destinies,1,pos,0.9966948248949454,0.003305175105054041
A Bigger Splash,This film filled with beautiful people is a reluctant thriller about a rock star her current lover her former lover and a pretty young thing,1,pos,0.8044742024540259,0.19552579754597238
A Dark Song,This intense debut feature from the Irish director Liam Gavin with its spare style is a marriage of acting and atmosphere,1,pos,0.9188034052181666,0.08119659478183096
A Film with Me in It,A Film With Me in It is a slender supple comedy graced with appealing performers and laced with agreeable poison,1,neg,0.21265478256937473,0.7873452174306271
A Ghost Story,Casey Affleck and Rooney Mara play a young couple one of whom is dead in David Lowerys haunting new film,1,pos,0.851621650631934,0.14837834936806762
A Good Man,A Good Man a documentary by Safina Uberoi follows Chris Rohrlach an Australian farmer who opens a legal brothel,1,pos,0.9900127695656186,0.00998723043437958
A Hologram for the King,Set in Saudi Arabia this subdued absurdist farce reflects on American decline and runaway technology,1,pos,0.9013168299061679,0.09868317009383008
