display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
'Til Madness Do Us Part,NA,0,BEN KENIGSBERG,Review: ‘’Til Madness Do Us Part’ Finds Hell and Humanity,Wang Bing’s documentary about a mental hospital in China is overlong but sporadically extraordinary.,2016-06-08,2016-06-09,2017-11-02 4:18,NA,NA,NA,NA,NA,0
(T)error,NA,0,KEN JAWOROWSKI,Review: ‘(T)error’ Documentary Follows an Informant in an F.B.I. Inquiry,"This documentary raises questions about the agency’s methods, as an informant is told to persist with an inquiry after he concludes that its target is not a serious threat.",2015-10-06,2015-10-08,2017-11-02 4:18,NA,Documentary,"Lyric R. Cabral, David Felix Sutcliffe",NA,Khalifah Ali Al-Akili,0
#Horror,Not Rated,0,JEANNETTE CATSOULIS,Review: ‘#Horror’ Finds the Fear in Cyberbullying and Social Media Threats,"In this feature directorial debut by Tara Subkoff, girls neglected by their parents and obsessed with their cellphones fall prey to perils of the online world.",2015-11-19,2015-11-20,2017-11-02 4:18,NA,Drama,Tara Subkoff,Tara Subkoff,Emma Adler,0
#Stuck,NA,0,NICOLAS RAPOLD,Road Rage as Aphrodisiac,"&#8220;Stuck&#8221; centers on a couple who meet at a bar, spend the night together and then endure being caught in a morning traffic jam.",2014-10-09,2014-10-10,2017-11-02 4:18,NA,Comedy,Stuart Acher,Stuart Acher,Madeline Zima,0
1 Night,NA,0,NEIL GENZLINGER,"Review: In ‘1 Night,’ a Hotel, 2 Couples, a Bad Prom and a Reckoning","This debut feature by Minhal Baig has two high school students, a couple in their 30s and a dash of charm.",2017-02-09,2017-02-10,2017-11-02 4:18,NA,NA,NA,NA,NA,0
10 Rules for Sleeping Around,R,0,NEIL GENZLINGER,Open Marriage Trying to Induce Same,"“10 Rules for Sleeping Around,” about one couple who allow each other to fool around and another that doesn’t, combines nudity and jokes, but fails to be a sex comedy.",2014-04-03,2014-04-04,2017-11-02 4:18,NA,Comedy,Leslie Greif,Leslie Greif,Tammin Sursok,0
10 Years,PG-13,0,STEPHEN HOLDEN,"High School Is Over, but the Angst Is Not","In the high school reunion comedy “10 Years,” some old classmates are struggling to grow up.",2012-09-13,2012-10-05,2017-11-02 4:18,201146,Comedy,Jamie Linden,Jamie Linden,Channing Tatum,0
"10,000 KM",R,0,A. O. SCOTT,"Review: In &#8216;10.000 km,&#8217; Lovers an Ocean Apart Struggle to Connect",Carlos Marques-Marcet’s film about a couple’s shift to a long-distance relationship looks at the role technology plays in negotiating absence.,2015-07-09,2015-07-10,2017-11-02 4:18,NA,NA,NA,NA,NA,0
100 Streets,NA,0,NEIL GENZLINGER,"Review: ‘100 Streets,’ Where an Ex-Jock, a Cabby and a Thug Struggle","Idris Elba is among the stars of this Jim O’Hanlon film, a converging-narratives movie set in London.",2017-01-12,2017-01-13,2017-11-02 4:18,NA,NA,NA,NA,NA,0
1000 Rupee Note,NA,0,HELEN T. VERONGOS,"Review: ‘1000 Rupee Note,’ a Poor Widow’s Blessing and Curse","In this film, set in the Maharashtra State of India, a villager sets off on a fraught shopping trip after receiving a few 1,000-rupee notes at a political rally.",2016-09-22,2016-09-23,2017-11-02 4:18,NA,NA,NA,NA,NA,0
11:55,NA,0,JEANNETTE CATSOULIS,"Review: In ‘11:55,’ a Marine Returns Home to Another War",Ari Issler and Ben Snyder’s intimate feature focuses on a young soldier who comes back from Afghanistan to face the fallout from a long-ago crime.,2017-06-08,2017-06-09,2017-11-02 4:18,NA,NA,NA,NA,NA,0
12 O'Clock Boys,NA,0,NICOLAS RAPOLD,Thrilling to the Brrroom of a Renegade Cohort,The documentary “12 O’Clock Boys” follows a youth through his initiation into a group of dirt bike riders who like to taunt the police.,2014-01-30,2014-01-31,2017-11-02 4:18,NA,Documentary,Lotfy Nathan,"Eric Blair (developed by), Eric Blair, Coco, Lotfy Nathan, Pug",Coco,0
13 Hours: The Secret Soldiers of Benghazi,R,0,MANOHLA DARGIS,"Review: In Michael Bay’s ‘13 Hours: The Secret Soldiers of Benghazi,’ Clarity Isn’t the Objective",Mr. Bay has moderately scaled back his extreme-cinema approach for the story about the attack on the American diplomatic mission in 2012.,2016-01-14,2016-01-15,2017-11-02 4:18,NA,NA,NA,NA,NA,0
13 Minutes,R,0,JEANNETTE CATSOULIS,Review: From Wooing Women to Plotting Hitler’s Murder in ‘13 Minutes’,"A German biopic tells the story of Georg Elser, a carpenter who tried to blow up the Führer in 1939.",2017-06-29,2017-06-30,2017-11-02 4:18,NA,NA,NA,NA,NA,0
14 Blades,R,0,DANIEL M. GOLD,Martial Arts Warriors Crowd a Fried-Noodle Western,"In “14 Blades” by Daniel Lee, a martial arts master must escape to China’s far frontier.",2014-08-21,2014-08-22,2017-11-02 4:18,NA,Action,Daniel Lee,"Daniel Lee (screenplay), Abe Kwong (screenplay), Tin Shu Mak (screenplay), Ho Leung Lau (screenplay), Daniel Lee (original story), Siu Cheung Chan",Donnie Yen,0
16-Love,PG,0,JEANNETTE CATSOULIS,A Match That Ends at Deuce,"In “16-Love,” Lindsey Shaw plays a teenager who finds there’s life (and romance) off the tennis court.",2012-01-19,2012-01-20,2017-11-02 4:18,NA,Comedy,Adam Lipsius,Leigh Dunlap,Lindsey Shaw,0
1st Night,Not Rated,0,STEPHEN HOLDEN,"It’s Tough to Keep a Tune, but Easy to Fall in Love","Mozart’s comic opera “Così Fan Tutte” inspires a subplot in the movie “1st Night,” directed by Christopher Menaul.",2013-05-02,2013-05-03,2017-11-02 4:18,NA,Comedy,Christopher Menaul,"Christopher Menaul, Jeremy Sams",Peter Basham,0
2 Guns,R,0,MANOHLA DARGIS,Two Good Guys (or So They Seem) Behaving Badly,"The Baltasar Kormakur buddy film “2 Guns” turns on a pair of seemingly bad guys who may be good, out to rob a drug cartel’s money from a bank.",2013-08-01,2013-08-02,2017-11-02 4:18,73500000,Action,Baltasar Kormákur,"Blake Masters (screenplay by), Steven Grant (based on the Boom! Studios graphic novels by)",Denzel Washington,0
2 Jacks,NA,0,STEPHEN HOLDEN,A Gene That Doesn’t Recede,"“Two Jacks,” adapted from a short Tolstoy novel, is a satirical comedy about Hollywood nepotism and wheeling and dealing.",2013-10-17,2013-10-18,2017-11-02 4:18,NA,Comedy,Bernard Rose,"Bernard Rose (screenplay), Leo Tolstoy (short story)",Jacqueline Bisset,0
20 Feet From Stardom,PG-13,0,A. O. SCOTT,Turning Up the Voices From the Background,The documentary “20 Feet From Stardom” seeks to rewrite the history of pop music by focusing attention on voices at once marginal and vital.,2013-06-13,2013-07-26,2017-11-02 4:18,NA,Documentary,Morgan Neville,NA,Lou Adler,1
2011-08-16,NA,0,KEN JAWOROWSKI,"Review: In ‘11/8/16,’ Looking at Election Day, After the Race Is Run",The documentary followed more than 16 people to the polls on Election Day to learn about their thoughts and feelings on the candidates.,2017-11-02,2017-11-01,2017-11-10 17:44,NA,NA,NA,NA,NA,0
2012-12-12,R,0,STEPHEN HOLDEN,A Scrapbook of a Memorable Night for Rock,"The documentary “12-12-12” goes behind the scenes at the Concert for Sandy Relief, with Bruce Springsteen, the Rolling Stones and Kanye West.",2013-11-14,2013-11-01,2017-11-02 4:18,NA,Horror,Jared Cohn,Jared Cohn (screenplay),Sara Malakul Lane,0
21 and Over,R,0,NICOLE HERRINGTON,With Friends Like These . . .,"“21 & Over,” the directorial debut of the “Hangover” screenwriting team, Jon Lucas and Scott Moore, follows an odd couple through a night of juvenile debauchery.",2013-03-01,2013-03-01,2017-11-02 4:18,NA,NA,NA,NA,NA,0
21 Jump Street,R,0,By A.&#160;O. SCOTT,"Going Back to High School, Undercover With Badges and Baggage","The movie “21 Jump Street” is full of the usual boy-comedy stuff, and though no conceptual ground is broken, the whole mess is silly, spirited and, yes, smart enough to work.",2012-03-15,2012-03-16,2017-11-02 4:18,1.34E+08,Action,"Phil Lord, Christopher Miller","Michael Bacall (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)",Jonah Hill,0
22 Jump Street,R,0,MANOHLA DARGIS,"Just Like the Last One, Only Different","In “22 Jump Street,” Jonah Hill and Channing Tatum reprise their role as police partners, this time going undercover on a college campus.",2014-06-12,2014-06-13,2017-11-02 4:18,154295930,Action,"Phil Lord, Christopher Miller","Michael Bacall (screenplay), Oren Uziel (screenplay), Rodney Rothman (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series ""21 Jump Street""), Stephen J. Cannell (television series ""21 Jump Street"")",Jonah Hill,0
23 Blast,PG-13,0,NEIL GENZLINGER,Touchdowns in the Face of Adversity,"Dylan Baker directs &#8220;23 Blast,&#8221; based on the true story of a high school football player who lost his sight.",2014-10-23,2014-10-24,2017-11-02 4:18,485128,Drama,Dylan Baker,"Bram Hoover, Toni Hoover",Stephen Lang,0
24 Exposures,Not Rated,0,ANDY WEBSTER,It’s a Guy Thing,A photographer who takes what he calls “fetish photos” is the subject of “24 Exposures.”,2014-01-23,2014-01-24,2017-11-02 4:18,NA,Crime,Joe Swanberg,Joe Swanberg,Adam Wingard,0
28 Hotel Rooms,Not Rated,0,STEPHEN HOLDEN,"Check-In, Check-Out Affair","In “28 Hotel Rooms” an unnamed couple meet in a hotel bar, have a one-night stand and begin a long-running, clandestine affair.",2012-11-15,2012-11-09,2017-11-02 4:18,16017,Drama,Matt Ross,Matt Ross,Chris Messina,0
3 Days to Kill,PG-13,0,A. O. SCOTT,"Down and Armed in Paris, Teenager in Tow","In “3 Days to Kill,” Kevin Costner plays a much-put-upon C.I.A. assassin in Paris with bad guys to dispatch and child-care issues.",2014-02-20,2014-02-21,2017-11-02 4:18,NA,Action,McG,"Adi Hasak (screenplay), Luc Besson (screenplay), Luc Besson (story)",Kevin Costner,0
3 Geezers!,NA,0,NEIL GENZLINGER,Nursing Home or Frat House?,In Michelle Schumacher’s “3 Geezers!” old people are living it up in their golden years.,2013-05-21,2013-05-22,2017-11-02 4:18,NA,Comedy,Michelle Schumacher,"Randle Schumacher, Eric Radzan, Tony Cummings",J.K. Simmons,0
