"display_title","summary_short","critics_pick"
"'Til Madness Do Us Part","Wang Bings documentary about a mental hospital in China is overlong but sporadically extraordinary",0
"(T)error","This documentary raises questions about the agencys methods as an informant is told to persist with an inquiry after he concludes that its target is not a serious threat",0
"#Horror","In this feature directorial debut by Tara Subkoff girls neglected by their parents and obsessed with their cellphones fall prey to perils of the online world",0
"#Stuck","8220Stuck8221 centers on a couple who meet at a bar spend the night together and then endure being caught in a morning traffic jam",0
"1 Night","This debut feature by Minhal Baig has two high school students a couple in their 30s and a dash of charm",0
"10 Rules for Sleeping Around","10 Rules for Sleeping Around about one couple who allow each other to fool around and another that doesnt combines nudity and jokes but fails to be a sex comedy",0
"10 Years","In the high school reunion comedy 10 Years some old classmates are struggling to grow up",0
"10,000 KM","Carlos MarquesMarcets film about a couples shift to a longdistance relationship looks at the role technology plays in negotiating absence",0
"100 Streets","Idris Elba is among the stars of this Jim OHanlon film a convergingnarratives movie set in London",0
"1000 Rupee Note","In this film set in the Maharashtra State of India a villager sets off on a fraught shopping trip after receiving a few 1000rupee notes at a political rally",0
"11:55","Ari Issler and Ben Snyders intimate feature focuses on a young soldier who comes back from Afghanistan to face the fallout from a longago crime",0
"12 O'Clock Boys","The documentary 12 OClock Boys follows a youth through his initiation into a group of dirt bike riders who like to taunt the police",0
"13 Hours: The Secret Soldiers of Benghazi","Mr Bay has moderately scaled back his extremecinema approach for the story about the attack on the American diplomatic mission in 2012",0
"13 Minutes","A German biopic tells the story of Georg Elser a carpenter who tried to blow up the Fhrer in 1939",0
"14 Blades","In 14 Blades by Daniel Lee a martial arts master must escape to Chinas far frontier",0
"16-Love","In 16Love Lindsey Shaw plays a teenager who finds theres life and romance off the tennis court",0
"1st Night","Mozarts comic opera Cos Fan Tutte inspires a subplot in the movie 1st Night directed by Christopher Menaul",0
"2 Guns","The Baltasar Kormakur buddy film 2 Guns turns on a pair of seemingly bad guys who may be good out to rob a drug cartels money from a bank",0
"2 Jacks","Two Jacks adapted from a short Tolstoy novel is a satirical comedy about Hollywood nepotism and wheeling and dealing",0
"20 Feet From Stardom","The documentary 20 Feet From Stardom seeks to rewrite the history of pop music by focusing attention on voices at once marginal and vital",0
"2011-08-16","The documentary followed more than 16 people to the polls on Election Day to learn about their thoughts and feelings on the candidates",0
"2012-12-12","The documentary 121212 goes behind the scenes at the Concert for Sandy Relief with Bruce Springsteen the Rolling Stones and Kanye West",0
"21 and Over","21  Over the directorial debut of the Hangover screenwriting team Jon Lucas and Scott Moore follows an odd couple through a night of juvenile debauchery",0
"21 Jump Street","The movie 21 Jump Street is full of the usual boycomedy stuff and though no conceptual ground is broken the whole mess is silly spirited and yes smart enough to work",0
"22 Jump Street","In 22 Jump Street Jonah Hill and Channing Tatum reprise their role as police partners this time going undercover on a college campus",0
"23 Blast","Dylan Baker directs 822023 Blast8221 based on the true story of a high school football player who lost his sight",0
"24 Exposures","A photographer who takes what he calls fetish photos is the subject of 24 Exposures",0
"28 Hotel Rooms","In 28 Hotel Rooms an unnamed couple meet in a hotel bar have a onenight stand and begin a longrunning clandestine affair",0
"3 Days to Kill","In 3 Days to Kill Kevin Costner plays a muchputupon CIA assassin in Paris with bad guys to dispatch and childcare issues",0
"3 Geezers!","In Michelle Schumachers 3 Geezers old people are living it up in their golden years",0
"30 Minutes or Less","In 3o Minutes or Less Jesse Eisenberg plays a pizza delivery man forced into a bank heist by a couple of slackers Its supposed to be a comedy",0
"32 Pills: My Sister's Suicide","Hope Litoffs documentary becomes more voyeuristically gripping as it progresses",0
"36 Saints","Survivors of a plane crash are dying in 36 Saints and two detectives try to stop the apparently supernatural forces behind the killings",0
"37","This version of the story returns to the popular but discredited belief that dozens of people deliberately ignored the cries of Ms Genovese",0
"4 Days in France","In a directors feature debut an impulsive wanderer flees Paris for adventures in rural France",0
"4 Moons","82204 Moons8221 is Sergio Tovar Velarde8217s look at gay boys and men in today8217s Mexico",0
"42","42 Brian Helgelands new film about Jackie Robinson is blunt simple and sentimental using timetested methods to teach a clear and rousing lesson",0
"47 Meters Down","Mandy Moore and Claire Holt play sisters looking for adventures in Mexico but being stuck in a cage on the ocean floor wasnt what they had in mind",0
"47 Ronin","Keanu Reevess presence is not the only Hollywood intrusion into a Japanese legend that is the basis for 47 Ronin",0
