display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
1,NA,1,JEANNETTE CATSOULIS,"Revelers, Pause to Meet Yourselves",A bawdy college kegger has a possible extraterrestrial mystery in “+1.”,2013-09-19,2014-01-10,2017-11-02 4:18,NA,Documentary,0,Mark Monroe,0,0
10 Cloverfield Lane,PG-13,1,JEANNETTE CATSOULIS,"Review: ‘10 Cloverfield Lane’ Houses a Survivalist, His Captive and Jolts","J.J. Abrams produced but did not direct this thriller, which is only slightly connected to his “Cloverfield” (2008) and stars Mary Elizabeth Winstead.",2016-03-10,2016-03-11,2017-11-02 4:18,59481553,Drama,0,"Josh Campbell (screenplay by), Matthew Stuecken (screenplay by), Damien Chazelle (screenplay by), Josh Campbell (story by), Matthew Stuecken (story by)",0,0
"10,000 Saints",R,1,NEIL GENZLINGER,"Review: &#8216;Ten Thousand Saints,&#8217; a Coming of Age in the East Village, Circa 1980s",A troubled Vermont teenager is sent to live with his estranged father in New York and finds himself there during a defining cultural moment.,2015-08-13,2015-08-14,2017-11-02 4:18,NA,Comedy,1,"Robert Pulcini (screenplay), Shari Springer Berman (screenplay), Eleanor Henderson (based on the novel by)",0,0
12 Years a Slave,R,1,MANOHLA DARGIS,"The Blood and Tears, Not the Magnolias","Steve McQueen’s “12 Years a Slave,” based on the true story of Solomon Northup, drives straight to the heart of the cruelties of oppression.",2013-10-17,2013-11-08,2017-11-02 4:18,50628650,Biography,0,"John Ridley (screenplay by), Solomon Northup (based on ""Twelve Years a Slave"" by)",0,1
127 Hours,R,1,A. O. SCOTT,The Tale of a Shocking Fall and a Gritty Resolve,"Danny Boyle’s “127 Hours” recreates the ordeal of Aron Ralston, the hiker who decided to extricate himself from a narrow slot of rock by severing an arm.",2010-11-04,2011-01-28,2017-11-02 4:18,18329466,Adventure,0,"Danny Boyle (screenplay), Simon Beaufoy (screenplay), Aron Ralston (book)",0,1
13 Cameras,NA,1,NEIL GENZLINGER,"Review: ‘13 Cameras,’ Keeping a Watchful Eye and Then Some","A creepy landlord, a father-to-be with a wandering eye, and a lot more than a couple bargained for in renting a home.",2016-04-14,2016-04-15,2017-11-02 4:18,NA,Drama,0,Victor Zarcoff,0,0
17 Girls,Not Rated,1,STEPHEN HOLDEN,"Follow the Leader, to Extremes","When a high school alpha girl becomes pregnant, 16 other girls follow suit in the film “17 Girls,” which wavers between light comedy and drama.",2012-09-20,2012-09-21,2017-11-02 4:18,15002,Drama,1,"Delphine Coulin, Muriel Coulin",1,0
20th Century Women,R,1,MANOHLA DARGIS,Review: 1 Teenage Boy and 3 Mothers in ‘20th Century Women’,"Annette Bening stars as a complicated and divorced Santa Barbara mother in Mike Mills’s funny, emotionally piercing new film.",2016-12-27,2017-01-20,2017-11-02 4:18,5663854,Comedy,0,Mike Mills,1,1
45 Years,R,1,A. O. SCOTT,"Review: In ‘45 Years,’ a Dead Flame Threatens a Marriage",Charlotte Rampling and Tom Courtenay play a couple whose union is unexpectedly complicated by the discovery of the husband’s long-dead former girlfriend in a glacier.,2015-12-22,2015-12-23,2017-11-02 4:18,3489919,Drama,1,"Andrew Haigh, David Constantine (short story ""In Another Country"")",1,1
45365,NA,1,JEANNETTE CATSOULIS,Tiny Moments That Tell One Small Town’s Story,"The documentary “45365” looks at the residents of Sidney, Ohio.",2010-06-16,2010-06-18,2017-11-02 4:18,NA,Documentary,0,N/A,NA,0
4th Man Out,NA,1,HELEN T. VERONGOS,"Review: ‘4th Man Out,’ a Film About Friendship and Coming Out","Adam, a mechanic in his 20s who has recently come out, tries dating apps with the encouragement of his three lifelong buddies.",2016-02-04,2016-02-05,2017-11-02 4:18,NA,Comedy,0,Aaron Dancik,0,0
7 Boxes,NA,1,JEANNETTE CATSOULIS,A Jumbled Journey Through a Curious Marketplace,"A pushcart delivery boy in Paraguay takes a job for a shady butcher, and chaos ensues in this film directed by Juan Carlos Maneglia and Tana Schémbori.",2014-02-06,2014-02-07,2017-11-02 4:18,NA,Crime,0,"Juan Carlos Maneglia (screenplay), Tito Chamorro (screenplay collaboration), Tana Schémbori (screenplay collaboration)",0,0
78/52,NA,1,BEN KENIGSBERG,Review: Reliving Delicious Terror in ‘78/52: Hitchcock’s Shower Scene’,A documentary by Alexandre O. Philippe finds plenty to examine in one of the most memorable scenes in American film.,2017-10-12,2017-10-13,2017-11-07 17:44,NA,Documentary,0,Alexandre O. Philippe,1,0
99 Homes,R,1,A. O. SCOTT,"In ‘99 Homes,’ a Man Buffeted and Then Manipulated in Florida’s Foreclosure Disaster",Ramin Bahrani’s tale is on one level a fable about how impersonal economic forces shape individual destinies.,2015-09-24,2015-10-09,2017-11-02 4:18,NA,Drama,0,"Ramin Bahrani (story by), Bahareh Azimi (story by), Ramin Bahrani (screenplay by), Amir Naderi (screenplay by)",0,1
A Bigger Splash,R,1,MANOHLA DARGIS,"Review: ‘A Bigger Splash,’ With a Speechless Tilda Swinton, Is Ready for Its Close-Up","This film, filled with beautiful people, is a reluctant thriller about a rock star, her current lover, her former lover and a pretty young thing.",2016-05-03,2016-05-04,2017-11-02 4:18,NA,Drama,0,"David Kajganich (screenplay by), Jacques Deray (movie ""La piscine""), Alain Page (original screenplay)",1,0
A Dark Song,NA,1,JEANNETTE CATSOULIS,Review: ‘A Dark Song’ Soaked in Sorcery and a Woman’s Grief,"This intense debut feature from the Irish director Liam Gavin, with its spare style, is a marriage of acting and atmosphere.",2017-04-27,2017-04-28,2017-11-02 4:18,NA,Drama,0,Liam Gavin,0,0
A Film with Me in It,NA,1,ANDY WEBSTER,"Struggling Actor Tweaks Script, Buddy and Bodies","“A Film With Me in It” is a slender, supple comedy graced with appealing performers and laced with agreeable poison.",2009-12-31,2010-01-01,2017-11-02 4:18,NA,Comedy,0,Mark Doherty,0,0
A Ghost Story,R,1,A.O. SCOTT,Review: ‘A Ghost Story’ Has a Sensitive Specter With Time on His Hands,"Casey Affleck and Rooney Mara play a young couple, one of whom is dead, in David Lowery’s haunting new film.",2017-07-05,2017-07-07,2017-11-02 4:18,1594798,Drama,0,David Lowery,0,0
A Good Man,NA,1,JEANNETTE CATSOULIS,‘A Good Man’: A Sideline in the Sex Industry,"“A Good Man,” a documentary by Safina Uberoi, follows Chris Rohrlach, an Australian farmer who opens a legal brothel.",2011-02-24,2011-02-25,2017-11-02 4:18,NA,Action,0,"Jason Rainwater, Keoni Waxman",0,NA
A Hologram for the King,R,1,STEPHEN HOLDEN,Review: ‘A Hologram for the King’ Is Elevated by Tom Hanks’s Portrayal of an American Everyman,"Set in Saudi Arabia, this subdued absurdist farce reflects on American decline and runaway technology.",2016-04-21,2016-04-22,2017-11-02 4:18,NA,Comedy,0,"Dave Eggers (novel), Tom Tykwer (screenplay)",0,0
A Little Chaos,R,1,STEPHEN HOLDEN,"Review: In &#8216;A Little Chaos,&#8217; a Guileless Kate Winslet Offsets a Lavish Versailles",Ms. Winslet plays a gardener well ahead of her time in this Louis XIV-era costume drama directed by and starring Alan Rickman.,2015-06-25,2015-06-26,2017-11-02 4:18,551609,Drama,0,"Jeremy Brock (screenplay), Alison Deegan, Alan Rickman (screenplay)",0,0
A Most Violent Year,R,1,A. O. SCOTT,Heating Oil Mixed With Trouble,"A family, its heating-oil business and New York are at the center of J. C. Chandor&#8217;s &#8220;A Most Violent Year.&#8221;",2014-12-30,2015-01-30,2017-11-02 4:18,NA,Crime,0,J.C. Chandor,0,1
A Prophet,R,1,MANOHLA DARGIS,"Learning to Read, Murder, Survive",“A Prophet” is one of those rare films in which the moral stakes are as insistent and thought through as the aesthetic choices.,2010-02-25,2010-03-26,2017-11-02 4:18,1515303,Crime,0,"Thomas Bidegain (screenplay), Jacques Audiard (screenplay), Abdel Raouf Dafri (original screenplay), Nicolas Peufaillit (original screenplay)",0,1
A Room and a Half,NA,1,STEPHEN HOLDEN,"Poet in Exile, Still Gripping His Memories","“A Room and a Half” is a rich, heady fictionalized biography of the exiled Russian poet Joseph Brodsky.",2010-01-19,2010-01-20,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
A Screaming Man,NA,1,MANOHLA DARGIS,"A Pool Man in Chad, at the Intersection of the Personal and the Political","“A Screaming Man,” by the Chadian-born filmmaker Mahamat-Saleh Haroun, is a tender story about an individual at the intersection of the personal and the political.",2011-04-12,2011-04-13,2017-11-02 4:18,9862,Drama,0,Mahamat-Saleh Haroun (screenplay),0,0
A Small Act,NA,1,NEIL GENZLINGER,Even the Tiniest Actions Can Change Entire Lives,"“A Small Act” follows Chris Mburu, who, as a child in Africa, was sponsored by Hilde Back, a woman in Sweden.",2010-10-28,2010-01-01,2017-11-02 4:18,NA,Documentary,1,Jennifer Arnold,NA,0
A Summer's Tale,G,1,STEPHEN HOLDEN,Torn by Three Loves and Styles of Jousting,"Eric Rohmer’s languid 1996 film, “A Summer’s Tale,” finally released in the United States, focuses on a young man vacationing in Brittany who feels torn among three women.",2014-06-19,2014-06-20,2017-11-02 4:18,198126,Comedy,0,Éric Rohmer,0,0
